n,q,p_in,p_out,Glauber,Glauber_STD,Metropolis,Metropolis_STD,Average,Average_STD
40,2,0.029,0.001001001001001001,0.5575,0.19999999999999996,0.6025,0.25,0.595,0.32499999999999996
40,2,0.03,0.001001001001001001,0.615,0.17499999999999993,0.56,0.17500000000000004,0.5925,0.15000000000000002
40,2,0.031,0.001001001001001001,0.6125,0.19999999999999996,0.5925,0.22499999999999998,0.605,0.29999999999999993
40,2,0.032,0.001001001001001001,0.5800000000000001,0.22499999999999998,0.6025,0.22499999999999998,0.57,0.09999999999999998
40,2,0.033,0.001001001001001001,0.56,0.15000000000000002,0.63,0.1499999999999999,0.6125,0.17499999999999993
40,2,0.034,0.001001001001001001,0.5875,0.19999999999999996,0.595,0.22499999999999998,0.5824999999999999,0.17500000000000004
40,2,0.035,0.001001001001001001,0.5625000000000001,0.19999999999999996,0.5525,0.125,0.575,0.15000000000000002
40,2,0.036,0.001001001001001001,0.5549999999999999,0.09999999999999998,0.595,0.19999999999999996,0.5549999999999999,0.15000000000000002
40,2,0.037,0.001001001001001001,0.5825,0.22499999999999998,0.6475,0.2749999999999999,0.5900000000000001,0.17499999999999993
40,2,0.038,0.001001001001001001,0.58,0.15000000000000002,0.6199999999999999,0.29999999999999993,0.5925,0.25
40,2,0.039,0.001001001001001001,0.595,0.17500000000000004,0.6325000000000001,0.30000000000000004,0.595,0.19999999999999996
40,2,0.04,0.001001001001001001,0.5825,0.17500000000000004,0.6525000000000001,0.29999999999999993,0.65,0.22499999999999998
40,2,0.041,0.001001001001001001,0.5900000000000001,0.19999999999999996,0.6024999999999999,0.32499999999999996,0.6124999999999999,0.19999999999999996
40,2,0.042,0.001001001001001001,0.6024999999999999,0.1499999999999999,0.6299999999999999,0.22499999999999998,0.6224999999999998,0.25
40,2,0.043,0.001001001001001001,0.5900000000000001,0.19999999999999996,0.595,0.17500000000000004,0.5900000000000001,0.19999999999999996
40,2,0.044,0.001001001001001001,0.5775,0.125,0.6125,0.22499999999999998,0.5975,0.17499999999999993
40,2,0.045,0.001001001001001001,0.5675000000000001,0.15000000000000002,0.6100000000000001,0.25,0.6,0.22499999999999998
40,2,0.046,0.001001001001001001,0.5825,0.25,0.5800000000000001,0.22499999999999998,0.5974999999999999,0.17500000000000004
40,2,0.047,0.001001001001001001,0.605,0.19999999999999996,0.64,0.29999999999999993,0.6125,0.275
40,2,0.048,0.001001001001001001,0.5900000000000001,0.22499999999999998,0.605,0.32499999999999996,0.5999999999999999,0.19999999999999996
40,2,0.049,0.001001001001001001,0.5900000000000001,0.19999999999999996,0.5875,0.25,0.59,0.22499999999999998
40,2,0.05,0.001001001001001001,0.6024999999999999,0.15000000000000002,0.6249999999999999,0.19999999999999996,0.6,0.125
40,2,0.051,0.001001001001001001,0.5574999999999999,0.09999999999999998,0.6399999999999999,0.25,0.5774999999999999,0.17500000000000004
40,2,0.052,0.001001001001001001,0.6074999999999999,0.32499999999999996,0.625,0.19999999999999996,0.6375,0.22499999999999998
40,2,0.053,0.001001001001001001,0.59,0.19999999999999996,0.5925,0.30000000000000004,0.625,0.4
40,2,0.054,0.001001001001001001,0.5725,0.125,0.5925,0.19999999999999996,0.6299999999999999,0.25
40,2,0.055,0.001001001001001001,0.5725,0.17500000000000004,0.58,0.30000000000000004,0.5725,0.19999999999999996
40,2,0.056,0.001001001001001001,0.615,0.25,0.65,0.2749999999999999,0.5850000000000001,0.4
40,2,0.057,0.001001001001001001,0.5700000000000001,0.17500000000000004,0.6325000000000001,0.275,0.6275,0.275
40,2,0.058,0.001001001001001001,0.6125,0.275,0.6425,0.25,0.6124999999999999,0.25
40,2,0.059,0.001001001001001001,0.595,0.15000000000000002,0.675,0.4,0.5774999999999999,0.22499999999999998
40,2,0.06,0.001001001001001001,0.585,0.19999999999999996,0.5625,0.07499999999999996,0.6275,0.22499999999999998
40,2,0.061,0.001001001001001001,0.5850000000000001,0.15000000000000002,0.655,0.4,0.6224999999999999,0.19999999999999996
40,2,0.062,0.001001001001001001,0.5525,0.09999999999999998,0.695,0.2250000000000001,0.6225,0.375
40,2,0.063,0.001001001001001001,0.5925,0.15000000000000002,0.6375,0.22499999999999998,0.6375000000000001,0.29999999999999993
40,2,0.064,0.001001001001001001,0.5825,0.125,0.6275000000000001,0.25,0.6174999999999999,0.35
40,2,0.065,0.001001001001001001,0.645,0.19999999999999996,0.6775,0.29999999999999993,0.5700000000000001,0.19999999999999996
40,2,0.066,0.001001001001001001,0.5900000000000001,0.19999999999999996,0.6425,0.35,0.5974999999999999,0.25
40,2,0.067,0.001001001001001001,0.5774999999999999,0.22499999999999998,0.7000000000000001,0.35,0.57,0.07499999999999996
40,2,0.068,0.001001001001001001,0.6275,0.25,0.7075,0.375,0.6325000000000001,0.275
40,2,0.069,0.001001001001001001,0.5875000000000001,0.17500000000000004,0.6425,0.35,0.6225,0.275
